Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
Europe & Central Asia,ECS,2001,11757.603659314,,,,,,
Ecuador,ECU,2001,1791.30359685037,,,2.67044,SOUTH AMERICA,,
Egypt,EGY,2001,1295.1374184163,,,0.838946,NORTHERN AFRICA,,
Euro area,EMU,2001,20289.6505275093,,,,,,
Eritrea,ERI,2001,325.409161513593,,,0.157815,NORTHERN AFRICA,,
Spain,ESP,2001,15368.2337984435,,,18.1487,WESTERN EUROPE,,
Estonia,EST,2001,4502.66614992392,,,31.5275,BALTICS,,
Ethiopia,ETH,2001,118.457204255261,,,0.0371624,SUB-SAHARAN AFRICA,,
European Union,EUU,2001,17230.6480095869,,,,,,
Fragile and conflict affected situations,FCS,2001,719.215886038336,,,,,,
Finland,FIN,2001,24965.202996776,,,43.1054,WESTERN EUROPE,,
Fiji,FJI,2001,1944.997414609,,,1.85798,OCEANIA,,
France,FRA,2001,22331.7948343036,,,26.3259,WESTERN EUROPE,,
Faroe Islands,FRO,2001,24879.7729617864,,,43.247,WESTERN EUROPE,,
"Micronesia, Fed. Sts.",FSM,2001,2103.74859460914,,,4.66053,,,
Gabon,GAB,2001,3835.75718279727,,,1.34762,SUB-SAHARAN AFRICA,,
United Kingdom,GBR,2001,28013.8729635508,,,33.4811,WESTERN EUROPE,,
Georgia,GEO,2001,801.98383707929,,,0.992344,CIS (FORMER USSR),,
Ghana,GHA,2001,263.542156494853,,,0.200008,SUB-SAHARAN AFRICA,,
Gibraltar,GIB,2001,,,,21.1711,WESTERN EUROPE,,
Guinea,GIN,2001,483.085120214741,,,0.175542,SUB-SAHARAN AFRICA,,
Gambia,GMB,2001,459.803068381399,,,1.33679,SUB-SAHARAN AFRICA,,
Guinea-Bissau,GNB,2001,327.138431972397,,,0.299569,SUB-SAHARAN AFRICA,,
Equatorial Guinea,GNQ,2001,1948.61145907844,,,0.16526,SUB-SAHARAN AFRICA,,
Greece,GRC,2001,12156.9572824221,,,10.935,WESTERN EUROPE,,
Grenada,GRD,2001,4819.50776653843,,,5.1281,CARIBBEAN,,
Greenland,GRL,2001,19265.5191468738,,,35.4641,NORTHERN AMERICA,,
Guatemala,GTM,2001,1537.68663578252,,,1.7382,CENTRAL AMERICA,,
